Index;Iact (mA);Ides (mA);Wact (rpm);Tact (ms)
1;1016;2000;-438;15
2;1878;2000;-418;28
3;1775;2000;-388;41
4;2021;2000;-358;55
5;1907;2000;-339;68
6;1881;2000;-322;80
7;1921;2000;-301;93
8;1949;2000;-270;105
9;1904;2000;-235;119
10;1772;2000;-198;132
11;1701;2000;-160;146
12;1873;2000;-128;159
13;1912;2000;-93;172
14;1987;2000;-61;185
15;1952;2000;-41;198
16;1897;2000;-22;211
17;1933;2000;5;224
18;1856;2000;35;237
19;1947;2000;67;251
20;1973;2000;93;264
21;1982;2000;113;277
22;1977;2000;126;290
23;1970;2000;137;302
24;1930;2000;150;315
25;1947;2000;166;327
26;1967;2000;180;341
27;2000;2000;189;354
28;1993;2000;192;370
29;1983;2000;195;384
30;1954;2000;200;397
31;2007;2000;205;410
32;2014;2000;207;423
33;2005;2000;206;435
34;1984;2000;202;449
35;1967;2000;201;462
36;1956;2000;202;475
37;1986;2000;204;489
38;2019;2000;202;501
39;2010;2000;199;515
40;1962;2000;196;527
41;1957;2000;195;541
42;1968;2000;196;555
43;1994;2000;197;568
44;1990;2000;194;581
45;2003;2000;191;594
46;2005;2000;189;607
47;2000;2000;189;620
48;2008;2000;191;632
49;2006;2000;190;646
50;2006;2000;188;658
51;1992;2000;185;672
52;1956;2000;184;685
53;2052;2000;185;697
54;2009;2000;184;710
55;2012;2000;184;722
56;1986;2000;182;735
57;1995;2000;181;748
58;1999;2000;179;761
59;1967;2000;179;775
60;1984;2000;178;789
61;2017;2000;177;801
62;2006;2000;177;814
63;1981;2000;174;827
64;1959;2000;174;841
65;1977;2000;173;853
66;2053;2000;173;866
67;2014;2000;172;881
68;2013;2000;171;893
69;1998;2000;171;907
70;1965;2000;170;919
71;1995;2000;170;933
72;1997;2000;167;946
73;2013;2000;167;958
74;1982;2000;167;971
75;1958;2000;167;983
76;2061;2000;167;996
77;2045;2000;166;1010
1;472;1000;111;13
2;985;1000;101;27
3;1067;1000;93;41
4;1046;1000;84;54
5;1023;1000;71;67
6;966;1000;55;80
7;976;1000;47;91
8;988;1000;41;104
9;1036;1000;38;117
10;1039;1000;36;130
11;1004;1000;32;143
12;989;1000;28;155
13;959;1000;19;168
14;1000;1000;13;180
15;996;1000;9;193
16;992;1000;6;206
17;992;1000;4;219
18;992;1000;2;232
19;992;1000;1;246
20;992;1000;1;262
21;992;1000;1;277
22;992;1000;0;290
23;992;1000;0;304
24;992;1000;0;316
25;992;1000;0;329
26;992;1000;0;342
27;992;1000;0;354
28;992;1000;0;367
29;992;1000;0;381
30;992;1000;0;394
31;992;1000;0;406
32;992;1000;0;419
33;992;1000;0;432
34;992;1000;0;445
35;991;1000;0;458
36;992;1000;0;470
37;992;1000;0;483
38;992;1000;0;497
39;992;1000;0;510
40;992;1000;0;522
41;992;1000;0;536
42;992;1000;0;550
43;992;1000;0;563
44;992;1000;0;576
45;992;1000;0;588
46;992;1000;0;602
47;992;1000;0;615
48;992;1000;0;628
49;992;1000;0;642
50;992;1000;0;654
51;992;1000;0;668
52;992;1000;0;680
53;992;1000;0;694
54;992;1000;0;708
55;992;1000;0;721
56;992;1000;0;734
57;993;1000;0;746
58;992;1000;0;759
59;992;1000;0;772
60;992;1000;0;784
61;992;1000;0;798
62;992;1000;0;811
63;992;1000;0;824
64;992;1000;0;838
65;992;1000;0;849
66;992;1000;0;862
67;992;1000;0;874
68;993;1000;0;888
69;992;1000;0;901
70;992;1000;0;914
71;992;1000;0;926
72;991;1000;0;939
73;992;1000;0;953
74;992;1000;0;967
75;992;1000;0;979
76;992;1000;0;992
77;992;1000;0;1005
1;0;0;-1;14
2;28;0;-8;26
3;26;0;-13;39
4;4;0;-19;52
5;-6;0;-24;65
6;-5;0;-30;79
7;0;0;-33;90
8;1;0;-33;103
9;9;0;-33;116
10;26;0;-34;129
